Code ISO 3,?????,????,ENG id,ESP id,FR id,Forest area (sq. km) 2011 VIRGULE,Forest area (sq. km) 2012 VIRGULE,Forest area (sq. km) 2011 POINT,Forest area (sq. km) 2012 POINT
SSF,??????? ???? ??????? (???? ??????? ?????),?????????(??????),Sub-Saharan Africa (all income levels),África al sur del Sahara (todos los niveles de ingreso),Afrique subsaharienne (tous niveaux de revenu),"6622579,1","5890094,3",6622579.1,5890094.3
SST,????? ???????,??,Small states,Pequeños Estados,Petits états,"864577,4","862331,3",864577.4,862331.3
STP,??? ???? ?????????,????????,Sao Tome and Principe,Santo Tomé y Príncipe,Sao Tomé-et-Principe,270,270,270,270
SUR,???????,???,Suriname,Suriname,Suriname,147544,147508,147544,147508
SVK,????????? ??????????,???????,Slovak Republic,República Eslovaca,République slovaque,19332,19334,19332,19334
SVN,????????,?????,Slovenia,Eslovenia,Slovénie,12550,12570,12550,12570
SWE,??????,??,Sweden,Suecia,Suède,282030,282030,282030,282030
SWZ,????????,????,Swaziland,Swazilandia,Swaziland,5674,5718,5674,5718
SXM, ???? ?????-????? ????????,???(??),Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part),,,,
SYC,????,???,Seychelles,Seychelles,Seychelles,407,407,407,407
SYR,????????? ??????? ???????,?????????,Syrian Arab Republic,República Árabe Siria,République arabe syrienne,4970,5030,4970,5030
TCA,??? ???? ??????,???????,Turks and Caicos Islands,Islas Turcas y Caicos,Îles Turques-et-Caïques,344,344,344,344
TCD,????,??,Chad,Chad,Tchad,114458,113666,114458,113666
TGO,????,??,Togo,Togo,Togo,2672,2672,2672,2672
THA,??????,??,Thailand,Tailandia,Thaïlande,189868,190016,189868,190016
TJK,?????????,?????,Tajikistan,Tayikistán,Tadjikistan,4100,4100,4100,4100
TKM,??????????,?????,Turkmenistan,Turkmenistán,Turkménistan,41270,41270,41270,41270
TLS,????? - ?????,???,Timor-Leste,Timor-Leste,Timor-Leste,7308,7196,7308,7196
TON,?????,??,Tonga,Tonga,Tonga,90,90,90,90
TTO,???????? ???????,????????,Trinidad and Tobago,Trinidad y Tobago,Trinité-et-Tobago,"2256,8","2249,6",2256.8,2249.6
TUN,????,???,Tunisia,Túnez,Tunisie,10224,10388,10224,10388
TUR,?????,???,Turkey,Turquía,Turquie,114528,115716,114528,115716
TUV,??????,???,Tuvalu,Tuvalu,Tuvalu,10,10,10,10
TZA,???????,????,Tanzania,Tanzanía,Tanzanie,330246,326212,330246,326212
UGA,??????,???,Uganda,Uganda,Ouganda,28998,28116,28998,28116
UKR,????????,???,Ukraine,Ucrania,Ukraine,97310,97570,97310,97570
UMC,??????? ?????? ?? ??????? ?????? ?????,???????,Upper middle income,Ingreso mediano alto,"Revenu intermédiaire, tranche supérieure","11948157,6","11944681,9",11948157.6,11944681.9
URY,????????,???,Uruguay,Uruguay,Uruguay,17888,18336,17888,18336
USA,???????? ???????,??,United States,Estados Unidos,États-Unis,3044048,3047876,3044048,3047876
UZB,?????????,??????,Uzbekistan,Uzbekistán,Ouzbékistan,32716,32677,32716,32677
VCT,???? ????? ???? ????????,??????????,St. Vincent and the Grenadines,San Vicente y las Granadinas,Saint-Vincent-et-les Grenadines,"267,8","268,6",267.8,268.6
VEN,???????,???????????,"Venezuela, RB",Venezuela,Venezuela,459874,456998,459874,456998
VIR,??? ???? (???????? ??????? ?????????),??????,Virgin Islands (U.S.),Islas Vírgenes (EE.UU.),Îles Vierges (EU),201,199,201,199
VNM,???????,??,Vietnam,Viet Nam,Viet Nam,139410,140850,139410,140850
VUT,???????,????,Vanuatu,Vanuatu,Vanuatu,4400,4400,4400,4400
PSE,????? ??????? ????? ???,????????,West Bank and Gaza,Ribera Occidental y Gaza,Cisjordanie et Gaza,"91,7","91,7",91.7,91.7
WLD,??????,??,World,Mundo,Monde,"40184163,7","39430117,2",40184163.7,39430117.2
WSM,?????,???,Samoa,Samoa,Samoa,1710,1710,1710,1710
YEM,????????? ???????,?????,"Yemen, Rep.","Yemen, Rep. del","Yémen, Rép. du",5490,5490,5490,5490
ZAF,???? ???????,??,South Africa,Sudáfrica,Afrique du Sud,92410,92410,92410,92410
COD,??????? ??????? ???????????,??(?),"Congo, Dem. Rep.","Congo, República Democrática del","Congo, République démocratique du",1538236,1535122,1538236,1535122
ZMB,??????,???,Zambia,Zambia,Zambie,493014,491348,493014,491348
ZWE,???????,????,Zimbabwe,Zimbabwe,Zimbabwe,152970,149700,152970,149700
