Code ISO 3,البلد,国家名称,ENG id,ESP id,FR id,Forest area (sq. km) 2011 VIRGULE,Forest area (sq. km) 2012 VIRGULE,Forest area (sq. km) 2011 POINT,Forest area (sq. km) 2012 POINT
QAT,قطر,卡塔尔,Qatar,Qatar,Qatar,0,0,0,0
ROU,رومانيا,罗马尼亚,Romania,Rumania,Roumanie,66094,66458,66094,66458
RUS,روسيا,俄罗斯联邦,Russian Federation,Federación de Rusia,Fédération de Russie,8091500,8092100,8091500,8092100
RWA,رواندا,卢旺达,Rwanda,Rwanda,Rwanda,4450,4550,4450,4550
SAS,جنوب آسيا,南亚,South Asia,Asia meridional,Asie du Sud,817545,818501,817545,818501
SAU,المملكة العربية السعودية,沙特阿拉伯,Saudi Arabia,Arabia Saudita,Arabie saoudite,9770,9770,9770,9770
SDN,السودان,苏丹,Sudan,Sudán,Soudan,"550752,1",,550752.1,
SEN,السنغال,塞内加尔,Senegal,Senegal,Sénégal,84330,83930,84330,83930
SGP,سنغافورة,新加坡,Singapore,Singapur,Singapour,23,23,23,23
SLB,جزر سليمان,所罗门群岛,Solomon Islands,Islas Salomón,Îles Salomon,22074,22018,22074,22018
SLE,سيراليون,塞拉利昂,Sierra Leone,Sierra Leona,Sierra Leone,27064,26868,27064,26868
SLV,السلفادور,萨尔瓦多,El Salvador,El Salvador,El Salvador,2826,2782,2826,2782
SMR,سان مارينو,圣马力诺,San Marino,San Marino,Saint-Marin,0,0,0,0
SOM,الصومال,索马里,Somalia,Somalia,Somalie,66702,65934,66702,65934
SRB,صربيا,塞尔维亚,Serbia,Serbia,Serbie,27604,28078,27604,28078
SSA,أفريقيا جنوب الصحراء,撒哈拉以南非洲,Sub-Saharan Africa (developing only),África al sur del Sahara,Afrique subsaharienne,"6606030,1","5873663,3",6606030.1,5873663.3
SSD,جنوب السودان,南苏丹,South Sudan,Sudán del Sur,Soudan du Sud,"148195,9",,148195.9,
SSF,أفريقيا جنوب الصحراء (جميع مستويات الدخل),撒哈拉以南非洲地区（所有收入水平）,Sub-Saharan Africa (all income levels),África al sur del Sahara (todos los niveles de ingreso),Afrique subsaharienne (tous niveaux de revenu),"6622579,1","5890094,3",6622579.1,5890094.3
SST,الدول الصغيرة,小国,Small states,Pequeños Estados,Petits états,"864577,4","862331,3",864577.4,862331.3
STP,سان تومي وبرينسيبي,圣多美和普林西比,Sao Tome and Principe,Santo Tomé y Príncipe,Sao Tomé-et-Principe,270,270,270,270
SUR,سورينام,苏里南,Suriname,Suriname,Suriname,147544,147508,147544,147508
SVK,الجمهورية السلوفاكية,斯洛伐克共和国,Slovak Republic,República Eslovaca,République slovaque,19332,19334,19332,19334
SVN,سلوفينيا,斯洛文尼亚,Slovenia,Eslovenia,Slovénie,12550,12570,12550,12570
SWE,السويد,瑞典,Sweden,Suecia,Suède,282030,282030,282030,282030
SWZ,سوازيلند,斯威士兰,Swaziland,Swazilandia,Swaziland,5674,5718,5674,5718
SXM, سانت مارتن-الجزء الهولندي,圣马丁(荷属),Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part),,,,
SYC,سيشل,塞舌尔,Seychelles,Seychelles,Seychelles,407,407,407,407
SYR,الجمهورية العربية السورية,阿拉伯叙利亚共和国,Syrian Arab Republic,República Árabe Siria,République arabe syrienne,4970,5030,4970,5030
TCA,جزر تركس وكيكوس,特克斯科斯群岛,Turks and Caicos Islands,Islas Turcas y Caicos,Îles Turques-et-Caïques,344,344,344,344
TCD,تشاد,乍得,Chad,Chad,Tchad,114458,113666,114458,113666
TGO,توغو,多哥,Togo,Togo,Togo,2672,2672,2672,2672
THA,تايلند,泰国,Thailand,Tailandia,Thaïlande,189868,190016,189868,190016
TJK,طاجيكستان,塔吉克斯坦,Tajikistan,Tayikistán,Tadjikistan,4100,4100,4100,4100
TKM,تركمانستان,土库曼斯坦,Turkmenistan,Turkmenistán,Turkménistan,41270,41270,41270,41270
TLS,تيمور - ليشتي,东帝汶,Timor-Leste,Timor-Leste,Timor-Leste,7308,7196,7308,7196
