ID,Name
920730116,CARNOT GAMBETTA 4
920730112,PLATEAU OUEST 2
920730111,PLATEAU OUEST 1
920730101,BAS DE SURESNES 1
920730108,BAS DE SURESNES 2
920730110,CITE JARDINS 2
920730114,REPUBLIQUE 1
920730102,CARNOT GAMBETTA 1
920730103,REPUBLIQUE 2
920750106,INSURRECTION
920750101,CLOS-MONTHOLON
920750104,CENTRE ANCIEN
920750108,BLEUZEN
920750107,PARC DES EXPOSITIONS
920750111,BRANCION
920750102,CHATILLON
920750109,LOUIS VICAT
920750105,IRIS NO 0105
920750103,ARISTIDE BRIAND
920750110,JEAN JAURES
920760103,JARDY_CENTRE VILLE
920760104,CHATEAU DE VAUCRESSON
920760102,PLATEAU DE CAZES
920760101,PLATEAU THERY_CENTRE ANCIEN
920770106,THIERRY-SAINT CLOUD
920770105,CENTRE-LA PRAIRIE
920770102,RUE DE VERSAILLES-MONASTERE
920770104,COTE D'ARGENT-DESVALLIERES-GAMBETTA
920770101,FORET DE FAUSSES REPOSES
920770103,LA RONCE
920780102,J. MOULIN
920780108,E. MANET
920780105,ST-EXUPERY
920780101,C. DE GAULLE
920780110,A. MALRAUX
920780109,G. APPERT
920780106,JEAN JAURES
920780104,CHAILLON
920780103,A. SISLEY
920780107,BD GALLIENI
930010801,PARIFERIC
930011201,VICTOR HUGO
930011102,LANDY
930010802,VILLETTE
930010402,VALLES
930010503,PAUL BERT
930010202,MONTFORT
930010501,MELEZES
930010902,ROOSEVELT
930010601,FUSAINS
930011001,LENINE
930011202,ZONE INDUSTRIELLE
930010901,CENTRE VILLE
930010602,QUATRE-CHEMINS
930010502,PRESLES
930010304,MALADRERIE
930010603,CONDORCET
930011203,MAGASINS GENERAUX
930010303,LONG SENTIER
930010701,SADI CARNOT
930010201,PERI
930010401,LA FRETTE
930010301,GENDARMERIE
930010302,EMILE DUBOIS
930011002,FIRMIN GEMIER
930010903,MAIRIE
930010101,ROBESPIERRE
930011101,PRESSENSE
930050101,FONTAINE DES PRES 1
930050204,NORD 4
930050302,NONNEVILLE 2
930050203,NORD 3
930050301,NONNEVILLE 1
930050701,GROS SAULE 1
930050206,NORD 6
930050805,AMBOURGET 5
930050208,NORD 8
930050501,EMILE ZOLA 1
930050802,AMBOURGET 2
930050601,BOURG 1
930050804,AMBOURGET 4
930050901,ANATOLE FRANCE 1
930050503,EMILE ZOLA 3
930050502,EMILE ZOLA 2
930050401,PARC 1
930050402,PARC 2
930050903,ANATOLE FRANCE 3
930050102,FONTAINE DES PRES 2
930050202,NORD 2
930050604,BOURG 4
930050803,AMBOURGET 3
930050103,FONTAINE DES PRES 3
930050209,NORD 9
930050602,BOURG 2
930050207,NORD 7
930050403,PARC 3
930050304,NONNEVILLE 4
930050702,GROS SAULE 2
930050303,NONNEVILLE 3
930050902,ANATOLE FRANCE 2
930050603,BOURG 3
930050801,AMBOURGET 1
930050201,NORD 1
930050703,GROS SAULE 3
930060111,IRIS 11
930060114,IRIS 14
930060113,IRIS 13
930060110,IRIS 10
930060108,IRIS 8
930060103,IRIS 3
930060102,IRIS 2
