ID,Name,TYPE IRIS,POP 2013,POP homme,POP femme,POP_inf19a,POP_20_64a,POP_sup65a,% homme,% femme,% inf19a,% 20_64a,% sup65a
916870105,CENTRE VILLE 1,H,2 610,1 226,1 383,511,1 458,641,"46,97","52,99","19,58","55,86","24,56"
916870107,PORT AVIATION 1,H,3 023,1 509,1 514,737,1 710,577,"49,92","50,08","24,38","56,57","19,09"
916870111,LE PLATEAU 3,H,3 195,1 549,1 647,930,1 850,414,"48,48","51,55","29,11","57,90","12,96"
916870104,LA CILOF 2,H,3 384,1 612,1 772,1 092,2 129,163,"47,64","52,36","32,27","62,91","4,82"
916870108,PORT AVIATION 2,H,2 920,1 379,1 541,829,1 646,445,"47,23","52,77","28,39","56,37","15,24"
920020101,PARC DE SCEAUX,H,2 120,1 145,975,458,1 401,261,"54,01","45,99","21,60","66,08","12,31"
920020404,CLINIQUE DU BOIS DE VERRIERES,H,2 133,979,1 154,544,1 163,426,"45,90","54,10","25,50","54,52","19,97"
920020405,ANCIEN CIMETIERE,H,1 995,948,1 046,408,1 068,519,"47,52","52,43","20,45","53,53","26,02"
920020302,PARVIS DU BREUIL ET DE LA BIEVRE,H,1 999,1 014,986,474,1 407,119,"50,73","49,32","23,71","70,39","5,95"
920020103,LA FONTAINE,H,2 106,1 025,1 081,485,1 267,354,"48,67","51,33","23,03","60,16","16,81"
920020203,CHEMIN DE FER,H,2 967,1 478,1 489,714,1 769,484,"49,81","50,19","24,06","59,62","16,31"
920020306,LIONEL TERRAY,H,2 236,1 080,1 157,616,1 324,297,"48,30","51,74","27,55","59,21","13,28"
920020107,JEAN MOULIN,H,2 916,1 478,1 438,594,1 656,666,"50,69","49,31","20,37","56,79","22,84"
920020406,BAS GRAVIERS,H,1 643,760,883,416,992,234,"46,26","53,74","25,32","60,38","14,24"
920020106,VELPEAU,H,2 273,1 064,1 209,511,1 372,390,"46,81","53,19","22,48","60,36","17,16"
920020204,BOIS DE L'AURORE,H,2 821,1 285,1 536,741,1 664,416,"45,55","54,45","26,27","58,99","14,75"
920020307,FONTAINE MOUTON,H,1 663,778,885,461,976,226,"46,78","53,22","27,72","58,69","13,59"
920020202,GUILLEBAUD,H,2 183,924,1 259,500,1 413,269,"42,33","57,67","22,90","64,73","12,32"
920020402,CELINE,H,2 856,1 332,1 524,609,1 701,547,"46,64","53,36","21,32","59,56","19,15"
