ID,Census division,2011,2012,2013,2014,2015,2016,2017
5915,"Greater Vancouver, British Columbia",2373037,2411416,2445877,2483845,2510034,2542363,2571433
5917,"Capital, British Columbia",367632,370990,374150,378418,383171,389342,394210
5919,"Cowichan Valley, British Columbia",81485,81404,81501,82201,82882,84010,85234
5921,"Nanaimo, British Columbia",148770,149693,150550,152166,154114,156597,159465
5923,"Alberni-Clayoquot, British Columbia",31581,31254,30963,30984,31035,31347,31573
5924,"Strathcona, British Columbia",43928,43812,43735,43901,44355,45080,45644
5926,"Comox Valley, British Columbia",64417,64480,64234,64569,65457,66183,66972
5927,"Powell River, British Columbia",20106,19989,19931,19888,19722,19880,19520
5929,"Sunshine Coast, British Columbia",28918,28830,28650,28893,29110,29432,29758
5931,"Squamish-Lillooet, British Columbia",39513,41048,41946,43084,44012,45154,46753
5933,"Thompson-Nicola, British Columbia",130832,130883,131276,131899,132657,134166,135382
5935,"Central Okanagan, British Columbia",183521,185699,187980,191379,195310,199498,202209
5937,"North Okanagan, British Columbia",82391,82541,82475,83088,83662,84815,84865
5939,"Columbia-Shuswap, British Columbia",51234,50801,50812,50766,51349,52064,53532
5941,"Cariboo, British Columbia",63314,62667,62171,61985,61750,61870,61763
5943,"Mount Waddington, British Columbia",11716,11508,11473,11433,11321,11325,11326
5945,"Central Coast, British Columbia",3277,3250,3262,3193,3139,3194,3215
5947,"Skeena-Queen Charlotte, British Columbia",19135,19084,19045,18979,19002,19070,18557
5949,"Kitimat-Stikine, British Columbia",38066,37945,38100,38419,38318,38238,37670
5951,"Bulkley-Nechako, British Columbia",39905,39710,39500,39438,39144,39163,43755
5953,"Fraser-Fort George, British Columbia",93887,93817,94159,94233,94658,95319,94640
5955,"Peace River, British Columbia",61768,62739,63430,64130,64403,63995,64170
5957,"Stikine, British Columbia",638,603,576,548,516,493,475
5959,"Northern Rockies, British Columbia",6054,5967,5843,5710,5466,5317,5282
6001,"Yukon, Yukon",35402,36058,36298,36817,37289,38086,38459
6101,"Region 1, Northwest Territories",6949,6878,6840,6866,6821,6784,6676
6102,"Region 2, Northwest Territories",2427,2462,2475,2440,2442,2440,2413
6103,"Region 3, Northwest Territories",2919,2918,2902,2884,2910,2895,2874
6104,"Region 4, Northwest Territories",3377,3367,3334,3357,3299,3339,3351
6105,"Region 5, Northwest Territories",7282,7245,7206,7126,7021,6965,6814
6106,"Region 6, Northwest Territories",20547,20724,21016,21194,21721,22194,22392
6204,"Baffin, Nunavut",18090,18308,18689,19068,19402,19686,20150
6205,"Keewatin, Nunavut",9779,9946,10161,10339,10446,10634,10853
6208,"Kitikmeot, Nunavut",6327,6453,6564,6660,6760,6857,6993
